2026-05-24 09:17:25:624 0 sec: 0 operations; est completion in 0 second 
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by io.netty.util.internal.PlatformDependent0$3 (file:/Users/josealves/Documents/Projects/AD/AD-Project2-73492-73650-73789/distalg-project2-base/client/asd-client.jar)
WARNING: Please consider reporting this to the maintainers of class io.netty.util.internal.PlatformDependent0$3
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::loadLibrary has been called by io.netty.util.internal.NativeLibraryUtil in an unnamed module (file:/Users/josealves/Documents/Projects/AD/AD-Project2-73492-73650-73789/distalg-project2-base/client/asd-client.jar)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

2026-05-24 09:17:30:608 5 sec: 0 operations; est completion in 106751991167300 days 15 hours 
2026-05-24 09:17:35:604 10 sec: 11976 operations; 2397,12 current ops/sec; est completion in 41 minutes [READ AverageLatency(us)=330,33] [UPDATE AverageLatency(us)=1266,62] 
2026-05-24 09:17:40:605 15 sec: 26517 operations; 2907,04 current ops/sec; est completion in 28 minutes [READ AverageLatency(us)=337,38] [UPDATE AverageLatency(us)=347,29] 
2026-05-24 09:17:45:606 20 sec: 37961 operations; 2288,34 current ops/sec; est completion in 26 minutes [READ AverageLatency(us)=429,93] [UPDATE AverageLatency(us)=440,31] 
2026-05-24 09:17:50:602 25 sec: 47140 operations; 1837,27 current ops/sec; est completion in 26 minutes [READ AverageLatency(us)=536,27] [UPDATE AverageLatency(us)=548,17] 
2026-05-24 09:17:55:605 30 sec: 54852 operations; 1541,48 current ops/sec; est completion in 26 minutes [READ AverageLatency(us)=638,86] [UPDATE AverageLatency(us)=654,25] 
2026-05-24 09:18:00:602 35 sec: 61480 operations; 1326,4 current ops/sec; est completion in 27 minutes [READ AverageLatency(us)=746,07] [UPDATE AverageLatency(us)=756,53] 
2026-05-24 09:18:05:603 40 sec: 67321 operations; 1167,97 current ops/sec; est completion in 29 minutes [READ AverageLatency(us)=845,77] [UPDATE AverageLatency(us)=863,03] 
2026-05-24 09:18:10:607 45 sec: 72673 operations; 1069,54 current ops/sec; est completion in 30 minutes [READ AverageLatency(us)=928,79] [UPDATE AverageLatency(us)=937,17] 
2026-05-24 09:18:15:604 50 sec: 77482 operations; 962,38 current ops/sec; est completion in 31 minutes [READ AverageLatency(us)=1029,25] [UPDATE AverageLatency(us)=1044,82] 
2026-05-24 09:18:20:604 55 sec: 81903 operations; 884,2 current ops/sec; est completion in 32 minutes [READ AverageLatency(us)=1123,19] [UPDATE AverageLatency(us)=1135,16] 
2026-05-24 09:18:25:607 60 sec: 86077 operations; 834,3 current ops/sec; est completion in 33 minutes [READ AverageLatency(us)=1193,11] [UPDATE AverageLatency(us)=1199,25] 
2026-05-24 09:18:30:606 65 sec: 89950 operations; 774,75 current ops/sec; est completion in 35 minutes [READ AverageLatency(us)=1284,14] [UPDATE AverageLatency(us)=1292,96] 
2026-05-24 09:18:35:602 70 sec: 93712 operations; 753 current ops/sec; est completion in 36 minutes [READ AverageLatency(us)=1320,88] [UPDATE AverageLatency(us)=1330,94] 
2026-05-24 09:18:40:606 75 sec: 97333 operations; 723,62 current ops/sec; est completion in 37 minutes [READ AverageLatency(us)=1373,79] [UPDATE AverageLatency(us)=1385,06] 
2026-05-24 09:18:45:602 80 sec: 100718 operations; 677,54 current ops/sec; est completion in 38 minutes [READ AverageLatency(us)=1461,54] [UPDATE AverageLatency(us)=1485,99] 
2026-05-24 09:18:50:607 85 sec: 103976 operations; 650,95 current ops/sec; est completion in 39 minutes [READ AverageLatency(us)=1533,39] [UPDATE AverageLatency(us)=1533,57] 
2026-05-24 09:18:55:607 90 sec: 107155 operations; 635,8 current ops/sec; est completion in 40 minutes [READ AverageLatency(us)=1560,57] [UPDATE AverageLatency(us)=1579,6] 
2026-05-24 09:19:00:608 95 sec: 110253 operations; 619,6 current ops/sec; est completion in 41 minutes [READ AverageLatency(us)=1604,03] [UPDATE AverageLatency(us)=1617,77] 
2026-05-24 09:19:05:605 100 sec: 113265 operations; 602,64 current ops/sec; est completion in 42 minutes [READ AverageLatency(us)=1649,98] [UPDATE AverageLatency(us)=1663,86] 
2026-05-24 09:19:10:604 105 sec: 116194 operations; 585,92 current ops/sec; est completion in 43 minutes [READ AverageLatency(us)=1700,51] [UPDATE AverageLatency(us)=1707,36] 
2026-05-24 09:19:15:608 110 sec: 119088 operations; 578,34 current ops/sec; est completion in 44 minutes [READ AverageLatency(us)=1723,13] [UPDATE AverageLatency(us)=1732,07] 
2026-05-24 09:19:20:608 115 sec: 121936 operations; 569,6 current ops/sec; est completion in 45 minutes [READ AverageLatency(us)=1745] [UPDATE AverageLatency(us)=1760,44] 
2026-05-24 09:19:25:608 120 sec: 124708 operations; 554,4 current ops/sec; est completion in 46 minutes [READ AverageLatency(us)=1794,26] [UPDATE AverageLatency(us)=1808,48] 
2026-05-24 09:19:30:608 125 sec: 127422 operations; 542,91 current ops/sec; est completion in 46 minutes [READ AverageLatency(us)=1839,75] [UPDATE AverageLatency(us)=1839,21] 
2026-05-24 09:19:35:608 130 sec: 130080 operations; 531,6 current ops/sec; est completion in 47 minutes [READ AverageLatency(us)=1872,68] [UPDATE AverageLatency(us)=1884,26] 
2026-05-24 09:19:40:608 135 sec: 132691 operations; 522,1 current ops/sec; est completion in 48 minutes [READ AverageLatency(us)=1909,28] [UPDATE AverageLatency(us)=1917,14] 
2026-05-24 09:19:45:608 140 sec: 135271 operations; 516 current ops/sec; est completion in 49 minutes [READ AverageLatency(us)=1929,05] [UPDATE AverageLatency(us)=1941,49] 
2026-05-24 09:19:50:606 145 sec: 137775 operations; 501 current ops/sec; est completion in 50 minutes [READ AverageLatency(us)=1991,05] [UPDATE AverageLatency(us)=1996,04] 
2026-05-24 09:19:55:608 150 sec: 140242 operations; 493,2 current ops/sec; est completion in 50 minutes [READ AverageLatency(us)=2017,46] [UPDATE AverageLatency(us)=2032,58] 
2026-05-24 09:20:00:608 155 sec: 142659 operations; 483,4 current ops/sec; est completion in 51 minutes [READ AverageLatency(us)=2050,34] [UPDATE AverageLatency(us)=2083,21] 
2026-05-24 09:20:05:605 160 sec: 145069 operations; 482,29 current ops/sec; est completion in 52 minutes [READ AverageLatency(us)=2065,25] [UPDATE AverageLatency(us)=2076,09] 
2026-05-24 09:20:10:608 165 sec: 147431 operations; 472,12 current ops/sec; est completion in 53 minutes [READ AverageLatency(us)=2112,62] [UPDATE AverageLatency(us)=2119,16] 
2026-05-24 09:20:15:608 170 sec: 149785 operations; 470,8 current ops/sec; est completion in 53 minutes [READ AverageLatency(us)=2117,14] [UPDATE AverageLatency(us)=2126,03] 
2026-05-24 09:20:20:608 175 sec: 152095 operations; 462 current ops/sec; est completion in 54 minutes [READ AverageLatency(us)=2156,4] [UPDATE AverageLatency(us)=2167,32] 
2026-05-24 09:20:25:606 180 sec: 154360 operations; 453,18 current ops/sec; est completion in 55 minutes [READ AverageLatency(us)=2196,73] [UPDATE AverageLatency(us)=2212,26] 
